DeviceCode,DeviceCategoryCode,DeviceCategoryName
3DTEMPARRAY01,TARRAY,Temperature Array
AA02_3830_910,OXYSENSOR,Oxygen Sensor
AANDERAA3830SN871,OXYSENSOR,Oxygen Sensor
AANDERAA4797PCO2OPTODE33,CO2SENSOR,CO2 Sensor
AANDERAA4797PCO2OPTODE43,CO2SENSOR,CO2 Sensor
AANDERAAO2224,OXYSENSOR,Oxygen Sensor
AandOpt0016,OXYSENSOR,Oxygen Sensor
AandOpt0018,OXYSENSOR,Oxygen Sensor
AandOpt0150,OXYSENSOR,Oxygen Sensor
AandOpt0418,OXYSENSOR,Oxygen Sensor
AandOpt0579,OXYSENSOR,Oxygen Sensor
AandOpt0580,OXYSENSOR,Oxygen Sensor
AandOpt0581,OXYSENSOR,Oxygen Sensor
AandOpt0793,OXYSENSOR,Oxygen Sensor
AandOpt1415,OXYSENSOR,Oxygen Sensor
AandOpt1416,OXYSENSOR,Oxygen Sensor
AandOpt1417,OXYSENSOR,Oxygen Sensor
AandOpt1684,OXYSENSOR,Oxygen Sensor
AandOpt1685,OXYSENSOR,Oxygen Sensor
AandOpt1794,OXYSENSOR,Oxygen Sensor
AandOpt1795,OXYSENSOR,Oxygen Sensor
AandOpt1797,OXYSENSOR,Oxygen Sensor
AandOpt4531A1099,OXYSENSOR,Oxygen Sensor
AandOpt4531A1100,OXYSENSOR,Oxygen Sensor
AandOpt4531A171,OXYSENSOR,Oxygen Sensor
AandOpt4531A202,OXYSENSOR,Oxygen Sensor
AandOpt4531A203,OXYSENSOR,Oxygen Sensor
AandOpt4531A205,OXYSENSOR,Oxygen Sensor
AandOpt4531A206,OXYSENSOR,Oxygen Sensor
AandOpt4531A435,OXYSENSOR,Oxygen Sensor
AandOpt4531A485,OXYSENSOR,Oxygen Sensor
AandOpt4531A878,OXYSENSOR,Oxygen Sensor
AandOpt4531FIW737,OXYSENSOR,Oxygen Sensor
AandOpt471,OXYSENSOR,Oxygen Sensor
AandOpt4831F300,OXYSENSOR,Oxygen Sensor
AandOpt4831F301,OXYSENSOR,Oxygen Sensor
AandOpt4831F303,OXYSENSOR,Oxygen Sensor
AandOpt4831F775,OXYSENSOR,Oxygen Sensor
AandOpt4831F777,OXYSENSOR,Oxygen Sensor
AandOpt4831IW736M,OXYSENSOR,Oxygen Sensor
AAO2_911,OXYSENSOR,Oxygen Sensor
ACRMSCM001,INTERNAL_DEVICE_MONITOR,Internal Device Monitor
ACRMSCM002,INTERNAL_DEVICE_MONITOR,Internal Device Monitor
ADCP20003,ADCP300KHZ,ADCP 300 kHz
ADMCTD110,CTD,CTD
ADR2205,ADAPTER,Adapter
ADVANTECHADAM6217IAA8016151,ADAPTER,Adapter
ADVANTECHADAM6217IAA8016155,ADAPTER,Adapter
ADVANTECHADAM6217IAA9032863,ADAPTER,Adapter
ADVANTECHADAM6217IAA9112777,ADAPTER,Adapter
ADVANTECHADAM6217IAA9112793,ADAPTER,Adapter
ADVANTECHADAM6217IAA9112799,ADAPTER,Adapter
ADVANTECHADAM6217IAA9112848,ADAPTER,Adapter
ADVANTECHADAM6217IAA9112854,ADAPTER,Adapter
ADVANTECHADAM6217IAA9255827,ADAPTER,Adapter
ADVANTECHADAM6217IAA9524053,ADAPTER,Adapter
ADVANTECHADAM6217IAAA109649,ADAPTER,Adapter
ADVANTECHADAM6217IAAA109652,ADAPTER,Adapter
ADVANTECHADAM6217IAAA287887,ADAPTER,Adapter
AGOLEDLIGHTARR01,CAMLIGHTS,Camera Lights
AGOLEDLIGHTARR02,CAMLIGHTS,Camera Lights
AGOLIGHTS225,CAMLIGHTS,Camera Lights
AGOLIGHTS226,CAMLIGHTS,Camera Lights
AGOLIGHTS227,CAMLIGHTS,Camera Lights
AGOLIGHTS228,CAMLIGHTS,Camera Lights
AGOLIGHTS229,CAMLIGHTS,Camera Lights
AGOLIGHTS230,CAMLIGHTS,Camera Lights
AGOLIGHTS231,CAMLIGHTS,Camera Lights
AGOLIGHTS232,CAMLIGHTS,Camera Lights
AGOLIGHTS233,CAMLIGHTS,Camera Lights
AGOLIGHTS234,CAMLIGHTS,Camera Lights
AGOLIGHTS235,CAMLIGHTS,Camera Lights
AGOLIGHTS236,CAMLIGHTS,Camera Lights
